Major,Early Career Pay,Mid-Career Pay,% High Meaning
Linguistics,"$58,600","$95,500",42%
General Science,"$56,300","$95,400",58%
Pre-Medicine,"$57,200","$95,300",69%
Nursing Science,"$75,600","$95,200",84%
Integrated Marketing Communications,"$53,500","$95,100",38%
American History (United States),"$58,900","$94,900",49%
Personnel Management,"$57,900","$94,800",68%
Natural Sciences,"$49,500","$94,700",54%
Writing,"$49,900","$94,600",44%
Computer Art,"$44,600","$94,500",33%
Journalism,"$52,300","$94,100",44%
Textile Design,"$56,200","$94,000",36%
Public Relations & Communication,"$51,700","$93,900",48%
Environmental & Natural Resource Economics,"$58,600","$93,700",66%
General & Strategic Management,"$56,800","$93,600",52%
History,"$54,300","$93,400",47%
Literature,"$53,200","$93,300",45%
Law,"$59,900","$93,200",51%
Physiology,"$55,500","$93,100",66%
Retail Management,"$60,400","$93,000",39%
Management & Organization,"$78,600","$92,900",55%
Music Technology,"$50,900","$92,900",38%
Urban Studies,"$57,700","$92,800",60%
Media Studies,"$57,000","$92,700",38%
Philosophy & Religion,"$51,300","$92,600",54%
Environmental Geography,"$55,900","$92,500",54%
Web Design & Development,"$60,100","$92,300",44%
Geographic Information Systems (GIS),"$56,100","$92,200",53%
Interactive Media,"$61,300","$92,100",39%
Retail Merchandising,"$59,000","$91,900",36%
Diagnostic Medical Sonography,"$71,700","$91,800",86%
Network Administration,"$54,400","$91,600",54%
Dental Hygiene,"$81,200","$91,300",81%
Workforce Education & Development,"$67,100","$91,200",73%
Health Policy & Administration,"$57,300","$91,100",63%
Quality Management,"$66,000","$90,800",62%
Speech Communication,"$53,300","$90,700",56%
Visual Effects & Motion Graphics,"$54,100","$90,500",38%
Foreign Languages,"$55,600","$90,300",54%
Landscape Architecture,"$58,700","$90,200",65%
Global Studies,"$58,100","$90,100",47%
Spanish Language Teacher Education,"$55,100","$89,900",-
Technical & Scientific Communication,"$57,000","$89,800",35%
Broadcast & Cinematic Arts,"$48,000","$89,700",41%
Geography,"$56,200","$89,600",52%
Forestry,"$52,800","$89,500",68%
Nursing Education,"$76,300","$89,300",-
English Language,"$50,900","$89,100",47%
Geosciences,"$55,100","$89,000",62%
Digital Arts,"$50,800","$88,900",36%
Leadership,"$53,700","$88,700",55%
Radio/Television & Film Production,"$51,200","$88,600",40%
English Language & Literature,"$52,200","$88,500",44%
Security Management,"$53,900","$88,400",-
Public Administration,"$53,000","$88,300",57%
Management (MGT),"$52,300","$88,200",-
Merchandising Management,"$53,500","$88,100",48%
Sports Management,"$51,200","$88,000",43%
Arts Management,"$45,200","$87,900",48%
Electronic Media,"$50,700","$87,900",37%
Film Production,"$50,500","$87,800",37%
Marine Science,"$51,800","$87,600",61%
Technical Writing,"$63,300","$87,500",37%
Travel Industry Management,"$58,700","$87,400",-
Nuclear Medicine Technology,"$68,800","$87,200",81%
Marketing & Advertising,"$55,400","$87,100",45%
Musicology,"$48,100","$87,000",-
Broadcast Journalism,"$49,800","$86,800",52%
Animation,"$50,900","$86,700",35%
Organizational Leadership & Supervision,"$54,600","$86,600",53%
Multimedia,"$50,400","$86,500",45%
Human Nutrition,"$55,100","$86,400",82%
Acting,"$50,400","$86,400",48%
Liberal Arts,"$51,400","$86,300",52%
Organizational Management,"$55,500","$86,200",60%
Zoology,"$46,800","$86,100",66%
Creative Writing,"$51,200","$85,900",41%
Geomatics,"$57,800","$85,800",67%
Law Enforcement,"$52,800","$85,700",62%
Fashion Marketing & Management,"$54,400","$85,600",27%
Management & Leadership,"$59,500","$85,400",56%
Human Resources (HR),"$53,800","$85,300",55%
Animal Science & Management,"$51,500","$85,200",61%
Adult Education & Training,"$55,200","$85,100",78%
Health & Fitness,"$44,100","$84,900",71%
Radiology,"$62,300","$84,800",81%
Communication Design,"$58,500","$84,700",34%
Training and Development,"$59,600","$84,700",-
Human Relations,"$51,100","$84,400",63%
Natural Resources,"$54,200","$84,300",58%
Hotel & Restaurant Management,"$54,200","$84,200",49%
Mass Media,"$45,800","$83,800",45%
Radiologic Technology,"$62,000","$83,700",81%
Romance Languages,"$57,400","$83,600",55%
Environmental Health Science,"$61,500","$83,500",-
Psychology,"$51,000","$83,400",56%
Labor Studies,"$53,700","$83,200",51%
Visual Communications,"$51,200","$83,000",34%
Audio Engineering,"$53,800","$82,800",40%
Health,"$49,600","$82,700",70%
Hospitality Management,"$53,100","$82,600",43%
Painting & Printmaking,"$39,300","$82,600",46%
Multimedia & Web Design,"$55,700","$82,500",31%
Psychology & Social Behavior,"$51,100","$82,400",58%
Web Design,"$53,900","$82,300",29%
Life Sciences,"$59,700","$82,200",60%
Music,"$51,000","$82,100",55%
SocialStudies,"$52,700","$82,000",56%
Psychiatry,"$64,300","$81,900",50%
Sociology,"$52,800","$81,800",55%
Health Care Administration,"$52,100","$81,600",68%
Respiratory Care,"$61,800","$81,500",85%
Art & Design,"$51,100","$81,300",39%
Child Psychology,"$48,400","$81,100",62%
Theater,"$51,200","$81,000",49%
Kinesiology,"$51,100","$80,900",66%
Secondary Education,"$50,700","$80,800",58%
Multidisciplinary Studies,"$49,600","$80,700",52%
Communication Arts,"$47,800","$80,500",40%
Sustainability,"$54,900","$80,400",58%
Radiography,"$62,400","$80,300",83%
Respiratory Therapy,"$61,800","$80,200",83%
Applied Behavior Analysis,"$43,400","$80,000",88%
Technology Teacher Education,"$54,000","$79,800",-
Professional Studies,"$47,500","$79,300",67%
Communications Technology,"$52,500","$79,200",32%
Biological Anthropology,"$52,200","$79,000",46%
Commercial Photography,"$48,900","$79,000",28%
Radio & Television,"$49,000","$78,900",40%
Nutrition,"$52,800","$78,600",65%
Plant Sciences,"$55,500","$78,400",57%
Graphic Design,"$51,300","$78,300",38%
Nutrition & Dietetics,"$57,200","$78,200",71%
Turfgrass Management,"$53,300","$78,100",38%
Interdisciplinary Studies (IS),"$50,700","$78,000",57%
Fashion Design & Marketing,"$55,900","$77,900",50%
Religion,"$50,500","$77,800",56%
Medical Technology,"$61,000","$77,700",82%
Fine Arts,"$49,000","$77,600",45%
Forensic Science,"$51,300","$77,400",63%
Public Health (PH),"$52,300","$77,300",70%
Speech-Language Pathology,"$49,600","$77,100",68%
Women's Studies,"$51,200","$77,000",60%
Modern Language Spanish,"$51,100","$76,900",63%
Physical Geography,"$55,000","$76,800",58%
Pastoral Studies,"$58,900","$76,700",-
Dramatic Art,"$47,100","$76,600",-
Music Industry,"$52,200","$76,400",38%
Performing Arts,"$51,300","$76,300",56%
African American & African Studies,"$54,300","$76,100",61%
Ornamental Horticulture,"$51,600","$76,000",67%
Hospitality & Tourism,"$51,400","$75,900",40%
Education,"$50,600","$75,800",65%
Foods & Nutrition,"$52,800","$75,300",68%
Fashion & Retail Management,"$55,800","$75,000",30%
Small Business Management,"$52,900","$74,900",36%
Clinical Nutrition,"$58,700","$74,800",-
Painting,"$47,400","$74,700",44%
Speech Pathology & Audiology,"$51,400","$74,600",75%
Physical Education Teaching,"$48,000","$74,400",68%
Clinical Psychology,"$47,500","$74,300",65%
Instrumental Music Teacher Education,"$48,000","$74,200",69%
Technical Theatre,"$46,400","$74,100",41%
Social & Criminal Justice,"$49,900","$73,900",55%
Family & Consumer Science,"$49,400","$73,800",61%
Network Technology,"$63,500","$73,700",60%
Video Production,"$48,600","$73,600",36%
International Trade,"$54,100","$73,400",44%
Missions,"$45,400","$73,200",-
Health Services Administration,"$49,000","$73,100",64%
Justice Studies,"$51,500","$73,000",49%
Physical Therapist Assistant Studies,"$55,100","$72,800",-
Sports Administration,"$49,700","$72,600",47%
Graphic Arts,"$48,000","$72,400",44%
Secondary English Teacher Education,"$49,800","$72,100",62%
Interior Design & Merchandising,"$50,200","$72,000",41%
Health & Wellness,"$45,500","$71,900",69%
Restaurant & Food Service Management,"$50,100","$71,800",40%
Theology,"$49,600","$71,700",68%
Wildlife Management,"$44,500","$71,600",46%
Mortuary Science,"$48,800","$71,500",78%
Media Production,"$49,000","$71,200",35%
Health Services Management,"$47,400","$71,000",87%
Social Science Teacher Education,"$51,000","$70,800",-
Rehabilitation Counseling,"$44,100","$70,600",-
Radio Broadcasting,"$51,000","$70,500",39%
Community Health,"$52,500","$70,300",73%
Drawing,"$43,400","$70,100",37%
Dance,"$50,600","$69,900",59%
Music Teacher Education,"$47,700","$69,800",58%
Photojournalism,"$46,800","$69,700",55%
Family & Community Services,"$48,400","$69,600",77%
Drawing & Painting,"$48,900","$69,500",45%
Vocal Performance,"$48,400","$69,400",62%
Tourism Management,"$48,900","$69,200",38%
Wildlife Biology,"$48,200","$68,900",58%
Teaching English as a Second Language (ESL),"$48,800","$68,800",67%
Parks & Recreation Management,"$49,000","$68,700",59%
Social Services,"$44,800","$68,500",78%
Elementary Special Education,"$51,200","$68,300",81%
Landscape Design,"$57,100","$68,000",62%
Speech & Hearing,"$51,400","$67,600",72%
Sculpture,"$44,700","$67,200",48%
Health Promotion,"$47,700","$67,000",71%
Athletic Training,"$47,700","$66,900",75%
Family Studies,"$45,000","$66,800",60%
Social Studies Teacher Education,"$49,200","$66,700",59%
Biblical Studies & Practical Ministries,"$45,400","$66,600",-
Communication Sciences & Disorders,"$49,900","$66,500",75%
Emergency Medical Services (EMS),"$47,300","$66,300",-
Deaf Studies,"$43,700","$66,100",-
Community Health Education,"$48,600","$65,800",70%
Musical Theatre,"$50,000","$65,500",46%
Pastoral Ministry,"$43,500","$65,200",76%
Bible Studies & Theology,"$44,800","$65,100",68%
Biblical Studies,"$47,000","$65,000",71%
Christian Ministry,"$43,000","$64,500",75%
Human Development & Family Studies,"$45,400","$64,400",63%
Church Ministries,"$43,600","$64,300",79%
Community Development,"$50,300","$63,600",69%
Music Therapy,"$48,500","$63,500",95%
Voice & Opera,"$38,700","$63,200",53%
Legal Assistant Studies,"$42,000","$63,000",39%
Health and Human Services,"$48,800","$62,900",64%
Home Economics,"$47,700","$62,800",69%
Special Education,"$46,400","$62,700",75%
Conflict Resolution,"$52,000","$62,100",50%
Developmental Psychology,"$42,900","$61,800",-
Youth Ministry,"$42,800","$61,700",74%
Therapeutic Recreation,"$44,900","$61,500",83%
Social Work (SW),"$43,300","$61,300",76%
Elementary Education,"$45,800","$60,700",68%
Office Administration,"$43,400","$60,500",67%
Christian Education,"$45,300","$60,300",84%
Human Services (HS),"$44,400","$59,600",70%
Health & Human Performance,"$43,000","$58,900",67%
Middle School Education,"$47,200","$58,500",76%
Child Development,"$42,200","$57,900",73%
Recreational Therapy,"$44,900","$57,200",84%
Early Childhood & Elementary Education,"$43,400","$56,500",76%
Outdoor Education,"$42,200","$55,200",51%
Baking & Pastry Arts,"$42,400","$54,900",38%
Mental Health,"$42,700","$52,900",76%
Child & Family Studies,"$41,600","$52,700",73%
Equine Studies,"$40,300","$52,500",50%
Addictions Counseling,"$45,900","$52,200",78%
Nonprofit Administration,"$42,800","$52,100",72%
Early Childhood Education,"$41,700","$50,600",77%
Metalsmithing,"$44,700","$44,900",36%
